                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.83807,                 0.4921,                  1.015,                0.85578,                0.84363,                0.89716,                0.68156,                0.87061,                0.56078,                 1.0025,               0.001486,               0.001486,               0.001486
                     88,                0.84778,                0.49047,                 1.0184,                0.87782,                0.83525,                0.89844,                0.67829,                0.88603,                  0.559,                 1.0055,               0.001387,               0.001387,               0.001387
                     89,                0.82105,                0.48008,                 1.0069,                0.87027,                0.84749,                0.90154,                0.68185,                0.88947,                0.54493,                 1.0031,               0.001288,               0.001288,               0.001288
                     90,                0.82213,                0.47983,                 1.0067,                  0.855,                0.86146,                0.89594,                0.67594,                0.88449,                0.55268,                 1.0014,               0.001189,               0.001189,               0.001189
                     91,                0.81963,                 0.4859,                 1.0145,                0.86254,                0.85763,                0.90231,                0.68357,                0.88069,                0.53768,                 1.0001,                0.00109,                0.00109,                0.00109
                     92,                0.81412,                0.47697,                 1.0058,                0.87813,                0.84607,                0.90568,                0.68399,                0.88003,                0.53714,                0.99997,               0.000991,               0.000991,               0.000991
                     93,                0.81602,                0.48193,                 1.0131,                0.88103,                0.83675,                0.90477,                 0.6918,                0.87239,                0.53895,                0.99815,               0.000892,               0.000892,               0.000892
                     94,                0.82398,                0.48147,                 1.0078,                0.87365,                0.83914,                0.90522,                0.68331,                0.88389,                0.54446,                  1.004,               0.000793,               0.000793,               0.000793
                     95,                0.79921,                0.47553,                0.99459,                0.85294,                0.85857,                0.90324,                0.68179,                 0.8858,                0.54351,                  1.004,               0.000694,               0.000694,               0.000694
                     96,                0.79906,                 0.4611,                0.99611,                0.85896,                0.85976,                0.90246,                0.68282,                0.88209,                0.54884,                 1.0001,               0.000595,               0.000595,               0.000595
                     97,                0.79386,                0.46042,                0.99959,                0.85668,                0.86306,                0.90438,                0.68584,                 0.8817,                0.54613,                  1.001,               0.000496,               0.000496,               0.000496
                     98,                 0.8138,                 0.4645,                 0.9996,                 0.8275,                0.88709,                0.90398,                 0.6839,                0.88519,                0.55032,                 1.0049,               0.000397,               0.000397,               0.000397
                     99,                0.81459,                0.46124,                 1.0062,                0.86737,                0.85003,                0.90292,                0.68597,                0.88323,                0.54409,                 1.0011,               0.000298,               0.000298,               0.000298
